d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
14.666666666666666,0.248475,0.22385,0.21495,0.19805,0.3235,0.3004,0.252175,0.224825,0.301125,0.2798,0.629125,0.82185,0.33175,0.3167,0.31675,0.361675
15.333333333333332,0.261025,0.23695,0.2264,0.209325,0.343275,0.319075,0.266875,0.237175,0.31765,0.296025,0.64165,0.8349,0.35105,0.334675,0.334125,0.381125
16,0.275225,0.25075,0.2391,0.2202,0.362325,0.33705,0.281125,0.2506,0.335725,0.312875,0.6548,0.847025,0.37055,0.353775,0.35200000000000004,0.399875
16.666666666666664,0.289625,0.263675,0.2523,0.23215,0.383375,0.356075,0.2974,0.26395,0.3528,0.330125,0.6668,0.858475,0.389775,0.3732,0.369775,0.418925
17.333333333333332,0.30485,0.27675,0.265325,0.243,0.402525,0.37555,0.313775,0.278625,0.370875,0.34745,0.67875,0.86815,0.40935,0.392675,0.387275,0.4376
18,0.320625,0.2911,0.27865,0.25495,0.4228,0.395775,0.32955,0.2922,0.389,0.3649,0.68925,0.8773,0.429475,0.413375,0.40365,0.456875
18.666666666666664,0.33635,0.30515,0.2928,0.265775,0.442325,0.41485,0.345175,0.30745,0.40725,0.3826,0.699125,0.885425,0.45135,0.433075,0.421975,0.474975
19.333333333333332,0.35295,0.31955,0.30725,0.27695,0.4612,0.435425,0.361075,0.321375,0.425375,0.399625,0.708025,0.89285,0.471675,0.452525,0.43975,0.4926
20,0.369575,0.33525,0.321525,0.2891,0.482025,0.45625,0.377725,0.336725,0.445125,0.4187,0.7167,0.900275,0.49245,0.473375,0.4574,0.510725
20.666666666666664,0.385525,0.350725,0.33595,0.303025,0.502575,0.475425,0.394725,0.3523,0.464475,0.43675,0.724325,0.906075,0.512375,0.4939,0.473475,0.529
21.333333333333332,0.40135,0.365425,0.350125,0.314825,0.522075,0.496125,0.41185,0.368475,0.482825,0.4548,0.732325,0.911775,0.533025,0.51495,0.49125,0.545125
22,0.4188,0.38055,0.363625,0.328275,0.541375,0.51485,0.431025,0.382925,0.5017,0.472675,0.73915,0.917475,0.5532,0.5353,0.5087,0.562625
22.666666666666664,0.4359,0.396225,0.37795,0.342075,0.561575,0.5328,0.448675,0.3996,0.520525,0.491825,0.746975,0.92225,0.572975,0.55515,0.5256,0.580075
23.333333333333332,0.4541,0.41085,0.393675,0.35685,0.58115,0.551725,0.4653,0.41585,0.5397,0.510125,0.75315,0.92695,0.592025,0.57395,0.542425,0.59685
24,0.471075,0.426975,0.4102,0.370875,0.60025,0.5709,0.483475,0.432425,0.557475,0.52865,0.759625,0.93075,0.61135,0.593375,0.5595,0.61235
24.666666666666664,0.48835,0.4437,0.426575,0.385525,0.6192,0.589275,0.5019,0.449675,0.576375,0.546175,0.7661,0.93435,0.63025,0.6118,0.574525,0.6277
25.333333333333332,0.5057,0.459375,0.441925,0.39995,0.63745,0.607575,0.520175,0.465575,0.59395,0.56375,0.7719,0.937625,0.6482,0.63085,0.590025,0.642075
26,0.5237,0.4749,0.458875,0.413275,0.655525,0.6265,0.5383,0.4825,0.612575,0.58075,0.7766,0.94095,0.66615,0.648775,0.60635,0.65625
26.666666666666664,0.540825,0.49135,0.47605,0.4266,0.67315,0.64665,0.557325,0.4995,0.630875,0.598275,0.781825,0.9440000000000001,0.68295,0.666325,0.621325,0.67125
27.333333333333332,0.5571,0.5076,0.492725,0.44215,0.68945,0.663575,0.57635,0.515075,0.6478,0.61475,0.78755,0.94705,0.699525,0.683225,0.6357,0.6853
28,0.57375,0.524575,0.50965,0.456575,0.7054,0.68075,0.5937,0.5322,0.663725,0.63095,0.79245,0.94945,0.71515,0.700175,0.65035,0.699625
28.666666666666664,0.590775,0.54095,0.5269,0.471725,0.720475,0.6973,0.6106,0.5488,0.68015,0.64735,0.796925,0.951625,0.7303,0.71605,0.6646,0.71385
29.333333333333332,0.6075,0.5573,0.5431,0.486225,0.7372,0.7133,0.62795,0.563175,0.696175,0.665025,0.8012,0.9539,0.745225,0.731425,0.678325,0.726725
30,0.62265,0.571975,0.5597,0.499875,0.7523,0.728725,0.645025,0.579725,0.711675,0.680725,0.805075,0.95595,0.7597,0.74605,0.6919,0.739575
30.666666666666664,0.64,0.58785,0.57555,0.51435,0.7659999999999999,0.743725,0.66185,0.596925,0.72675,0.695625,0.8094,0.958125,0.7728,0.7592,0.704175,0.751125
31.333333333333332,0.656025,0.603275,0.5916,0.528025,0.780425,0.7579,0.677425,0.6133,0.74155,0.710675,0.8133,0.95985,0.786125,0.77265,0.7167,0.762225
32,0.67105,0.618275,0.607425,0.542075,0.7928,0.77215,0.69255,0.6276,0.75675,0.725175,0.817175,0.9617,0.7988,0.78535,0.7287,0.773375
32.666666666666664,0.686525,0.63405,0.624325,0.556225,0.805725,0.785175,0.708475,0.643825,0.7705,0.73905,0.82045,0.96335,0.811125,0.798175,0.73985,0.783725
33.33333333333333,0.701875,0.648875,0.6406,0.5702,0.81785,0.7983,0.72265,0.659525,0.783825,0.753025,0.82425,0.965125,0.82255,0.810025,0.7509,0.793525
34,0.716925,0.663825,0.656725,0.58465,0.828225,0.81035,0.7378,0.6742,0.797125,0.7657,0.82715,0.966725,0.833975,0.821625,0.760825,0.80365
34.666666666666664,0.731475,0.6783,0.6711,0.598525,0.840175,0.822575,0.752825,0.69,0.8079999999999999,0.7775,0.830775,0.9684,0.844775,0.8331,0.771425,0.81365
35.33333333333333,0.745425,0.69305,0.686125,0.612925,0.849875,0.834325,0.76725,0.703575,0.81955,0.789975,0.834075,0.96975,0.855425,0.843,0.781525,0.8223
36,0.759225,0.70745,0.70225,0.6278,0.859875,0.8462,0.78025,0.718425,0.830825,0.80085,0.83755,0.9711,0.865125,0.852725,0.792075,0.830275
36.666666666666664,0.772675,0.7217,0.716375,0.641225,0.868225,0.8558,0.794825,0.732725,0.84175,0.81145,0.84065,0.972225,0.87415,0.862125,0.80235,0.837625
37.33333333333333,0.785225,0.734925,0.7309,0.655075,0.876725,0.865675,0.8079999999999999,0.74625,0.8507,0.8219,0.8437,0.973225,0.88275,0.870925,0.811325,0.845575
