d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
36.36363636363636,0.70792,0.60968,0.64032,0.5214,0.824,0.77288,0.72296,0.6136,0.78116,0.7136,0.81224,0.9658,0.82576,0.78576,0.7472,0.77396
37.17171717171717,0.72516,0.62672,0.6568,0.53696,0.8346,0.78752,0.7398,0.62956,0.79616,0.73072,0.81608,0.9674,0.83728,0.79936,0.75964,0.7836
37.97979797979798,0.74088,0.64316,0.67424,0.55248,0.84652,0.80036,0.75624,0.64608,0.80956,0.74716,0.82096,0.96936,0.84992,0.8128,0.77252,0.79448
38.78787878787879,0.75624,0.66012,0.69012,0.56956,0.85744,0.81436,0.77256,0.66212,0.82192,0.76176,0.8244,0.9706,0.86168,0.826,0.78452,0.805
39.5959595959596,0.77132,0.6772,0.70808,0.58656,0.8678,0.82732,0.78828,0.6798,0.83316,0.7772,0.8284,0.97124,0.87108,0.83824,0.7952,0.8146
40.4040404040404,0.78532,0.69384,0.72488,0.60256,0.87676,0.84064,0.802,0.69464,0.84564,0.79012,0.83104,0.97256,0.8802,0.84916,0.80652,0.82516
41.21212121212121,0.79884,0.70876,0.74296,0.61892,0.88608,0.852,0.81792,0.711,0.85724,0.80328,0.83424,0.97388,0.88992,0.86092,0.81732,0.8346
42.02020202020202,0.81256,0.72376,0.75872,0.63536,0.89448,0.862,0.83184,0.72796,0.86848,0.8156,0.8374,0.97492,0.89924,0.87072,0.82812,0.84444
42.82828282828283,0.82404,0.73784,0.77376,0.65092,0.90236,0.87224,0.84456,0.74268,0.87896,0.8282,0.84024,0.9758,0.90672,0.87972,0.83704,0.85348
43.63636363636363,0.83576,0.75368,0.78876,0.66624,0.909,0.88268,0.85644,0.75864,0.88692,0.83916,0.84316,0.97676,0.91292,0.88928,0.84572,0.86196
44.44444444444444,0.84644,0.76768,0.80416,0.68204,0.9154,0.89212,0.86816,0.77256,0.8952,0.84952,0.84556,0.97796,0.91976,0.89864,0.85496,0.86916
45.25252525252525,0.85804,0.781,0.81832,0.697,0.9216,0.90036,0.87952,0.78668,0.904,0.85972,0.848,0.97888,0.92752,0.907,0.86208,0.87628
46.06060606060606,0.86776,0.79352,0.83092,0.71348,0.92736,0.908,0.89036,0.80096,0.91232,0.87096,0.85048,0.97984,0.93364,0.91472,0.86968,0.88336
46.868686868686865,0.87784,0.8066,0.84236,0.72832,0.93224,0.914,0.89976,0.81456,0.91984,0.88004,0.85272,0.9806,0.93924,0.92156,0.87744,0.88968
47.676767676767675,0.888,0.81772,0.85456,0.74276,0.93784,0.9214,0.90852,0.8292,0.92636,0.88916,0.85548,0.9814,0.94452,0.92796,0.88336,0.89616
48.484848484848484,0.8964,0.8292,0.86648,0.7566,0.94236,0.92776,0.91748,0.84004,0.93256,0.89812,0.85808,0.98224,0.94908,0.93432,0.89016,0.90248
49.292929292929294,0.90376,0.8402,0.87744,0.76972,0.94672,0.9334,0.92544,0.85108,0.93748,0.90532,0.86088,0.98272,0.95408,0.94024,0.8964,0.90888
50.1010101010101,0.9116,0.85064,0.88824,0.78116,0.95056,0.93872,0.93324,0.86176,0.94252,0.91208,0.86328,0.98372,0.9582,0.94504,0.90128,0.91356
50.90909090909091,0.92064,0.8602,0.89788,0.7944,0.95384,0.94364,0.94088,0.87256,0.9476,0.91908,0.86568,0.98428,0.96236,0.94988,0.90676,0.91868
51.717171717171716,0.92792,0.86904,0.90772,0.80628,0.95664,0.9486,0.94812,0.88236,0.9526,0.92548,0.8674,0.98492,0.9652,0.9542,0.91204,0.92352
52.525252525252526,0.9338,0.87848,0.91732,0.81904,0.95936,0.95276,0.95372,0.89264,0.9568,0.93076,0.86976,0.98544,0.96812,0.95856,0.91696,0.9282
53.333333333333336,0.9398,0.88804,0.92548,0.83052,0.96208,0.95688,0.95896,0.90112,0.96088,0.93584,0.87184,0.9858,0.97076,0.96184,0.9218,0.93172
54.14141414141414,0.94568,0.89536,0.93364,0.84192,0.96444,0.96032,0.96376,0.90924,0.964,0.94068,0.87384,0.98628,0.97328,0.965,0.9266,0.93536
54.94949494949495,0.95056,0.90296,0.93996,0.85412,0.96712,0.96368,0.96756,0.91732,0.96764,0.94564,0.87592,0.98664,0.97584,0.96812,0.9312,0.93936
55.75757575757576,0.95476,0.91084,0.94592,0.86412,0.96864,0.9666,0.97072,0.925,0.97084,0.94972,0.8778,0.987,0.97812,0.97096,0.93496,0.94296
56.56565656565657,0.95876,0.91692,0.95168,0.87416,0.97108,0.97,0.97444,0.9318,0.97396,0.95384,0.87948,0.98728,0.97984,0.97352,0.93932,0.94652
57.37373737373737,0.96284,0.92312,0.95728,0.8832,0.97304,0.97224,0.9778,0.9378,0.97636,0.95732,0.88112,0.9876,0.98208,0.97536,0.94264,0.94948
58.18181818181818,0.96636,0.92844,0.96284,0.89184,0.9746,0.97476,0.97988,0.94368,0.97872,0.96076,0.88272,0.98792,0.98372,0.97816,0.9458,0.95176
58.98989898989899,0.97072,0.93368,0.96732,0.90052,0.97632,0.9774,0.98276,0.94924,0.9806,0.96408,0.88416,0.98828,0.98528,0.98048,0.94884,0.95532
59.7979797979798,0.9742,0.9388,0.97144,0.90904,0.97824,0.97916,0.98504,0.95364,0.98256,0.96676,0.88604,0.9886,0.98644,0.98192,0.9516,0.95872
60.6060606060606,0.97716,0.94376,0.97496,0.91676,0.97964,0.98056,0.98724,0.95832,0.98428,0.96968,0.887,0.98888,0.98768,0.98368,0.95428,0.96136
61.41414141414141,0.9792,0.9482,0.9784,0.92436,0.98088,0.98188,0.98928,0.96212,0.98564,0.97224,0.88836,0.98932,0.98852,0.98532,0.957,0.96372
62.22222222222222,0.98164,0.9532,0.98136,0.931,0.98216,0.98344,0.99084,0.96636,0.98704,0.97428,0.8896,0.98956,0.98956,0.98692,0.9594,0.96668
63.03030303030303,0.98364,0.95712,0.98412,0.9382,0.98324,0.98436,0.9924,0.9694,0.98844,0.97664,0.89112,0.98996,0.9904,0.9882,0.96152,0.96904
63.838383838383834,0.98512,0.9606,0.9868,0.9444,0.98412,0.9858,0.99348,0.9726,0.98916,0.97888,0.89228,0.99028,0.99136,0.98928,0.96352,0.97116
64.64646464646465,0.98708,0.96368,0.98872,0.95044,0.98508,0.98684,0.99428,0.97588,0.99016,0.98072,0.89376,0.9906,0.99208,0.9906,0.96592,0.97352
65.45454545454545,0.98856,0.96756,0.99056,0.95504,0.98572,0.988,0.99528,0.97848,0.99132,0.9824,0.89484,0.9908,0.9928,0.99164,0.96788,0.9752
66.26262626262626,0.98972,0.9712,0.99232,0.95976,0.9866,0.98884,0.99588,0.98124,0.9922,0.9842,0.89604,0.99128,0.99372,0.99244,0.96988,0.97684
67.07070707070707,0.99116,0.9734,0.994,0.96444,0.9874,0.98984,0.99672,0.98372,0.993,0.986,0.89712,0.99136,0.99444,0.99316,0.9718,0.97856
67.87878787878788,0.9926,0.976,0.99508,0.96888,0.98824,0.99056,0.99724,0.9854,0.99368,0.98712,0.89824,0.99152,0.995,0.99356,0.97316,0.97972
68.68686868686869,0.99348,0.97816,0.996,0.97252,0.98896,0.9912,0.99784,0.987,0.99444,0.9886,0.8996,0.99172,0.99568,0.99436,0.97432,0.98092
69.4949494949495,0.9942,0.97988,0.99688,0.97612,0.98992,0.99196,0.99848,0.98852,0.99532,0.98956,0.90092,0.99184,0.99624,0.99484,0.97596,0.98168
70.3030303030303,0.99488,0.9818,0.99768,0.97908,0.99068,0.993,0.9988,0.99008,0.99608,0.99088,0.902,0.99192,0.99652,0.99532,0.97764,0.9826
71.11111111111111,0.99552,0.98372,0.99824,0.98124,0.99132,0.99336,0.99908,0.99136,0.99644,0.99184,0.903,0.99216,0.99684,0.9958,0.97836,0.98404
71.91919191919192,0.99616,0.98536,0.99864,0.98324,0.9918,0.99404,0.99932,0.99264,0.99672,0.99256,0.90424,0.99236,0.99712,0.99632,0.97968,0.98504
72.72727272727272,0.99668,0.98684,0.99908,0.9852,0.99212,0.9946,0.99936,0.9936,0.99716,0.99304,0.90536,0.99244,0.99728,0.9966,0.98068,0.98612
73.53535353535354,0.99708,0.98812,0.9992,0.98708,0.99272,0.99504,0.9994,0.9944,0.99764,0.99384,0.90676,0.99284,0.99744,0.99708,0.98212,0.98672
74.34343434343434,0.99748,0.98932,0.99936,0.98856,0.99336,0.99544,0.99956,0.99496,0.99792,0.99444,0.908,0.993,0.99756,0.99748,0.98292,0.9874
75.15151515151516,0.99788,0.99048,0.99944,0.98952,0.99384,0.9958,0.99972,0.99556,0.99804,0.99484,0.90912,0.9932,0.99788,0.99776,0.98396,0.98804
75.95959595959596,0.99816,0.99184,0.9996,0.99068,0.99432,0.99584,0.9998,0.99592,0.99832,0.99532,0.91016,0.99336,0.99804,0.99788,0.98464,0.98892
76.76767676767676,0.9984,0.9926,0.99972,0.99176,0.99464,0.9962,0.99988,0.99656,0.9986,0.99552,0.91112,0.99348,0.99824,0.998,0.98548,0.9896
77.57575757575758,0.99868,0.99304,0.99996,0.99304,0.995,0.9966,0.99996,0.99708,0.9988,0.99596,0.91188,0.99368,0.99848,0.99812,0.98608,0.99032
78.38383838383838,0.99888,0.99348,1.0,0.99376,0.99524,0.997,0.99996,0.99732,0.99888,0.99636,0.91268,0.99388,0.99864,0.99828,0.98696,0.99092
79.1919191919192,0.999,0.9944,1.0,0.99444,0.99576,0.99716,0.99996,0.9976,0.99916,0.9968,0.9136,0.994,0.99872,0.9984,0.98788,0.9914
80.0,0.99908,0.99508,1.0,0.99524,0.99612,0.99732,1.0,0.998,0.99924,0.99704,0.91452,0.99412,0.99884,0.9986,0.9886,0.99196
