d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
48,0.676825,0.6263,0.612575,0.550675,0.7981,0.7815,0.698125,0.6375,0.761525,0.73475,0.818575,0.967,0.80395,0.7959,0.73155,0.78515
49,0.692475,0.6411,0.629575,0.565225,0.81085,0.7949,0.7141,0.654075,0.7752,0.748325,0.8219,0.968525,0.815775,0.808325,0.742525,0.795225
50,0.70715,0.65685,0.645175,0.57995,0.823325,0.809225,0.7298,0.669425,0.78855,0.76105,0.8256,0.97025,0.8275,0.8213,0.7533,0.804375
51,0.7219,0.672125,0.66055,0.59465,0.834275,0.82205,0.744425,0.684825,0.80215,0.774475,0.828925,0.971725,0.8394,0.833475,0.765275,0.814
52,0.7377,0.68655,0.67695,0.6078,0.845175,0.834325,0.760575,0.6995,0.813975,0.7871,0.83245,0.9728,0.85015,0.844525,0.776,0.82375
53,0.75115,0.7012,0.692925,0.6212,0.855075,0.84595,0.774925,0.713775,0.825275,0.800675,0.8358,0.973875,0.86055,0.855475,0.78675,0.8326
54,0.7662,0.715575,0.707925,0.635775,0.8646,0.8572,0.788475,0.728525,0.836325,0.811725,0.8384,0.975225,0.8707,0.864825,0.7967,0.84165
55,0.779675,0.7302,0.723375,0.64935,0.872975,0.867625,0.80225,0.7425,0.8473,0.823625,0.841825,0.97615,0.878925,0.874125,0.806425,0.849475
56,0.7926,0.744,0.738325,0.6628,0.88175,0.876875,0.815275,0.757225,0.857925,0.834575,0.84455,0.977175,0.886975,0.882775,0.8162,0.8565
57,0.8058,0.75735,0.752175,0.67755,0.889375,0.885925,0.827975,0.77145,0.867025,0.8448,0.84735,0.977775,0.89535,0.89085,0.825075,0.86325
58,0.817825,0.7702,0.766425,0.691175,0.896975,0.89465,0.839475,0.78505,0.87595,0.854575,0.849825,0.9787,0.903075,0.8988,0.833775,0.8701
59,0.8286,0.783375,0.781025,0.704875,0.90365,0.902225,0.850875,0.796975,0.88365,0.863675,0.85275,0.9796,0.90945,0.90615,0.84155,0.8771
60,0.839575,0.79525,0.794075,0.717775,0.9098,0.909375,0.862925,0.809,0.89125,0.872475,0.8556,0.980625,0.9163,0.913475,0.84905,0.88355
61,0.85025,0.80665,0.806475,0.7312,0.91515,0.9158,0.873225,0.821175,0.8995,0.88095,0.858075,0.9812,0.922575,0.919875,0.8561,0.88965
62,0.859025,0.817475,0.81955,0.74395,0.920575,0.92285,0.88255,0.831975,0.906475,0.8898,0.860125,0.9821,0.92875,0.92585,0.86315,0.89535
63,0.8687,0.82855,0.831725,0.7571,0.92595,0.92865,0.891925,0.8426,0.91355,0.897625,0.86235,0.98275,0.934175,0.9314,0.869725,0.90075
64,0.878275,0.838225,0.843,0.768625,0.930375,0.93395,0.9009,0.8528,0.91945,0.90475,0.864075,0.983625,0.93875,0.936375,0.875775,0.906125
65,0.88665,0.84785,0.853475,0.78005,0.935275,0.938725,0.90905,0.862775,0.925875,0.911675,0.866325,0.98415,0.9432,0.9413,0.882375,0.91105
66,0.89445,0.856875,0.864475,0.792125,0.9391,0.943875,0.916375,0.872575,0.9317,0.9177,0.86835,0.984775,0.948,0.946,0.888175,0.915725
67,0.902025,0.865975,0.874575,0.803525,0.942975,0.9482,0.9237,0.8808,0.936725,0.92315,0.870075,0.98535,0.951975,0.94985,0.89325,0.919975
68,0.909275,0.874625,0.884425,0.8137,0.947025,0.9523,0.930625,0.89005,0.941725,0.9282,0.8721,0.985725,0.95575,0.953825,0.8982,0.924175
69,0.9161,0.88235,0.89355,0.824775,0.95045,0.9563,0.93725,0.898575,0.94605,0.9334,0.8739,0.986275,0.95895,0.95755,0.90345,0.928425
70,0.922125,0.8901,0.901725,0.835925,0.953375,0.95915,0.94275,0.9066,0.9507,0.938675,0.87535,0.986675,0.961925,0.96135,0.908175,0.932275
71,0.928075,0.897625,0.910025,0.846975,0.956625,0.961925,0.94795,0.912975,0.954475,0.94345,0.876975,0.987075,0.96535,0.964525,0.9127,0.9364
72,0.934025,0.904775,0.918075,0.857125,0.959425,0.9652,0.953475,0.92,0.9581,0.947375,0.87855,0.987425,0.96815,0.967975,0.9173,0.939425
73,0.939225,0.911075,0.9253,0.867675,0.961575,0.96805,0.958175,0.92635,0.962325,0.951,0.879975,0.9879,0.97055,0.970575,0.921625,0.9428
74,0.944,0.917225,0.9324,0.8771,0.96375,0.9706,0.96235,0.9324,0.96595,0.955225,0.881525,0.988275,0.9727,0.97255,0.925725,0.945675
75,0.948625,0.923025,0.938625,0.885025,0.966075,0.972675,0.9663,0.937925,0.968925,0.959525,0.882825,0.9886,0.974675,0.974425,0.9295,0.949025
76,0.95345,0.928,0.945225,0.893425,0.9677,0.974825,0.969875,0.9433,0.97175,0.962525,0.884125,0.98885,0.97665,0.976425,0.9334,0.951825
77,0.95755,0.9333,0.950725,0.901125,0.9697,0.976375,0.973325,0.948025,0.974125,0.96595,0.8857,0.989125,0.978475,0.978425,0.937275,0.95445
78,0.961,0.937725,0.955525,0.9083,0.9719,0.978275,0.97655,0.952775,0.97695,0.969,0.887475,0.989525,0.9804,0.98025,0.940725,0.95685
79,0.964275,0.942325,0.96025,0.915475,0.973675,0.98,0.97935,0.9572,0.978725,0.971675,0.889175,0.989825,0.981775,0.982225,0.9439,0.95935
80,0.96755,0.946925,0.964675,0.9222,0.975475,0.98165,0.9815,0.961475,0.98105,0.974225,0.890625,0.990075,0.983075,0.98365,0.946675,0.9621
81,0.97045,0.950425,0.96895,0.9288,0.977125,0.98335,0.983925,0.965275,0.982675,0.976475,0.891625,0.990375,0.984425,0.9851,0.94955,0.964
82,0.9732,0.954325,0.97245,0.9348,0.97855,0.98455,0.985525,0.968875,0.9847,0.978125,0.8928,0.990625,0.98565,0.986675,0.952625,0.966525
83,0.976125,0.958275,0.9757,0.940425,0.979625,0.98585,0.98705,0.9719,0.985975,0.97995,0.894075,0.99095,0.986925,0.9879,0.955175,0.968475
